sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,368;13;Yes;No;3;0,80594;0,96428;0,00000;0,47822;2,66691;class negotiator.group1.Group1@1008003670;class negotiator.group11.Group11@124376232;class negotiator.group12.Group12@25476672;0,96428;0,80594;0,89668
2;0,217;13;Yes;No;3;0,80501;0,95238;0,01411;0,15058;2,64655;class negotiator.group1.Group1@804112752;class negotiator.group12.Group12@513761462;class negotiator.group11.Group11@1509282179;0,95238;0,80501;0,88916
3;0,252;21;Yes;No;3;0,72350;0,85265;0,10766;0,30005;2,39757;class negotiator.group12.Group12@2121415454;class negotiator.group1.Group1@1058393065;class negotiator.group11.Group11@1516930669;0,82143;0,85265;0,72350
4;0,055;7;Yes;No;3;0,87864;0,90476;0,00000;0,39051;2,67722;class negotiator.group12.Group12@769928554;class negotiator.group11.Group11@1109477635;class negotiator.group1.Group1@1408927789;0,90476;0,89382;0,87864
5;0,084;12;Yes;No;3;0,76190;0,88882;0,01411;0,42499;2,51536;class negotiator.group11.Group11@1563239889;class negotiator.group12.Group12@1370414179;class negotiator.group1.Group1@428862980;0,76190;0,86463;0,88882
6;0,062;8;Yes;No;3;0,77381;0,89633;0,00000;0,42430;2,53571;class negotiator.group11.Group11@506705656;class negotiator.group1.Group1@704912194;class negotiator.group12.Group12@225351589;0,77381;0,86557;0,89633
1;0,112;13;Yes;No;3;0,80594;0,96428;0,00000;0,47822;2,66691;class negotiator.group1.Group1@1811392450;class negotiator.group11.Group11@1760581682;class negotiator.group12.Group12@1646563429;0,96428;0,80594;0,89668
2;0,104;13;Yes;No;3;0,80501;0,95238;0,01411;0,15058;2,64655;class negotiator.group1.Group1@462348347;class negotiator.group12.Group12@1301384511;class negotiator.group11.Group11@667581815;0,95238;0,80501;0,88916
3;0,222;21;Yes;No;3;0,72350;0,85265;0,10766;0,30005;2,39757;class negotiator.group12.Group12@1638622803;class negotiator.group1.Group1@231263589;class negotiator.group11.Group11@1290879382;0,82143;0,85265;0,72350
4;0,104;10;Yes;No;3;0,80594;0,96428;0,00000;0,47822;2,66691;class negotiator.group12.Group12@950320314;class negotiator.group11.Group11@42454019;class negotiator.group1.Group1@1232046803;0,96428;0,80594;0,89668
5;0,090;12;Yes;No;3;0,76190;0,88882;0,01411;0,42499;2,51536;class negotiator.group11.Group11@265588633;class negotiator.group12.Group12@302556085;class negotiator.group1.Group1@785613347;0,76190;0,86463;0,88882
6;0,072;12;Yes;No;3;0,80594;0,96428;0,00000;0,33494;2,66691;class negotiator.group11.Group11@467647544;class negotiator.group1.Group1@819740829;class negotiator.group12.Group12@1730041912;0,96428;0,80594;0,89668
1;0,092;13;Yes;No;3;0,85609;0,89335;0,02961;0,35035;2,61848;class negotiator.group1.Group1@1441668194;class negotiator.group11.Group11@867583131;class negotiator.group12.Group12@1639719640;0,86905;0,89335;0,85609
2;0,090;13;Yes;No;3;0,80501;0,95238;0,01411;0,15058;2,64655;class negotiator.group1.Group1@1953917263;class negotiator.group12.Group12@1373529775;class negotiator.group11.Group11@1347252883;0,95238;0,80501;0,88916
3;0,522;31;Yes;No;3;0,75000;0,91836;0,07598;0,14763;2,44558;class negotiator.group12.Group12@1348935840;class negotiator.group1.Group1@396101618;class negotiator.group11.Group11@894820528;0,75000;0,77722;0,91836
4;0,046;7;Yes;No;3;0,80571;0,94048;0,02816;0,45289;2,62783;class negotiator.group12.Group12@974015616;class negotiator.group11.Group11@964753482;class negotiator.group1.Group1@1825072219;0,94048;0,80571;0,88165
5;0,070;12;Yes;No;3;0,76190;0,88882;0,01411;0,42499;2,51536;class negotiator.group11.Group11@1914139764;class negotiator.group12.Group12@984964346;class negotiator.group1.Group1@80322894;0,76190;0,86463;0,88882
6;0,081;12;Yes;No;3;0,80547;0,92857;0,02961;0,32006;2,60817;class negotiator.group11.Group11@722265904;class negotiator.group1.Group1@1651610353;class negotiator.group12.Group12@1915961545;0,92857;0,80547;0,87413
1;0,260;23;Yes;No;3;0,76095;0,94808;0,01411;0,41578;2,51855;class negotiator.group1.Group1@993614864;class negotiator.group11.Group11@2009078048;class negotiator.group12.Group12@432597811;0,80952;0,76095;0,94808
2;0,077;13;Yes;No;3;0,80501;0,95238;0,01411;0,15058;2,64655;class negotiator.group1.Group1@1897252299;class negotiator.group12.Group12@12439077;class negotiator.group11.Group11@2009325067;0,95238;0,80501;0,88916
3;0,285;21;Yes;No;3;0,82128;0,89286;0,02816;0,18077;2,55137;class negotiator.group12.Group12@697053875;class negotiator.group1.Group1@1986560468;class negotiator.group11.Group11@407545306;0,89286;0,82128;0,83724
4;0,024;5;Yes;No;3;0,87864;0,90476;0,00000;0,39051;2,67722;class negotiator.group12.Group12@1896874846;class negotiator.group11.Group11@968994405;class negotiator.group1.Group1@194375336;0,90476;0,89382;0,87864
5;0,069;12;Yes;No;3;0,76190;0,88882;0,01411;0,42499;2,51536;class negotiator.group11.Group11@1178402421;class negotiator.group12.Group12@927407903;class negotiator.group1.Group1@62995732;0,76190;0,86463;0,88882
6;0,053;11;Yes;No;3;0,86360;0,89359;0,02816;0,36722;2,63814;class negotiator.group11.Group11@663053162;class negotiator.group1.Group1@107740857;class negotiator.group12.Group12@157001356;0,88095;0,89359;0,86360
1;0,090;13;Yes;No;3;0,83007;0,86905;0,05480;0,36157;2,53620;class negotiator.group1.Group1@66585390;class negotiator.group11.Group11@258649608;class negotiator.group12.Group12@1454180202;0,86905;0,83708;0,83007
2;0,098;13;Yes;No;3;0,80501;0,95238;0,01411;0,15058;2,64655;class negotiator.group1.Group1@43427061;class negotiator.group12.Group12@1102329594;class negotiator.group11.Group11@469031466;0,95238;0,80501;0,88916
3;0,306;21;Yes;No;3;0,83007;0,86905;0,05480;0,19265;2,53620;class negotiator.group12.Group12@626788457;class negotiator.group1.Group1@307929403;class negotiator.group11.Group11@1916356204;0,86905;0,83708;0,83007
4;0,073;9;Yes;No;3;0,80547;0,92857;0,02961;0,44041;2,60817;class negotiator.group12.Group12@1327622027;class negotiator.group11.Group11@175878470;class negotiator.group1.Group1@1307548235;0,92857;0,80547;0,87413
5;0,236;12;Yes;No;3;0,76190;0,88882;0,01411;0,42499;2,51536;class negotiator.group11.Group11@1969074108;class negotiator.group12.Group12@889193251;class negotiator.group1.Group1@1646687556;0,76190;0,86463;0,88882
6;0,178;10;Yes;No;3;0,87864;0,90476;0,00000;0,37201;2,67722;class negotiator.group11.Group11@1403688585;class negotiator.group1.Group1@1259533071;class negotiator.group12.Group12@2118051925;0,90476;0,89382;0,87864
1;0,158;13;Yes;No;3;0,80547;0,92857;0,02961;0,44041;2,60817;class negotiator.group1.Group1@795029123;class negotiator.group11.Group11@679144248;class negotiator.group12.Group12@1957490611;0,92857;0,80547;0,87413
2;0,087;13;Yes;No;3;0,80501;0,95238;0,01411;0,15058;2,64655;class negotiator.group1.Group1@2111429939;class negotiator.group12.Group12@1274606397;class negotiator.group11.Group11@874836561;0,95238;0,80501;0,88916
3;0,413;31;Yes;No;3;0,77381;0,93339;0,05480;0,12032;2,48465;class negotiator.group12.Group12@669401617;class negotiator.group1.Group1@342172571;class negotiator.group11.Group11@411589425;0,77381;0,77745;0,93339
4;0,124;13;Yes;No;3;0,82151;0,91667;0,00000;0,41558;2,59045;class negotiator.group12.Group12@195920907;class negotiator.group11.Group11@516864421;class negotiator.group1.Group1@596256796;0,91667;0,82151;0,85227
5;0,107;12;Yes;No;3;0,76190;0,88882;0,01411;0,42499;2,51536;class negotiator.group11.Group11@2030157455;class negotiator.group12.Group12@518774904;class negotiator.group1.Group1@1963159953;0,76190;0,86463;0,88882
6;0,027;6;Yes;No;3;0,77381;0,89633;0,00000;0,42430;2,53571;class negotiator.group11.Group11@121335269;class negotiator.group1.Group1@1941593675;class negotiator.group12.Group12@840144996;0,77381;0,86557;0,89633
1;0,062;13;Yes;No;3;0,87864;0,90476;0,00000;0,39051;2,67722;class negotiator.group1.Group1@1551034446;class negotiator.group11.Group11@16441952;class negotiator.group12.Group12@554937394;0,90476;0,89382;0,87864
2;0,030;5;Yes;No;3;0,86360;0,89359;0,02816;0,20109;2,63814;class negotiator.group1.Group1@258855116;class negotiator.group12.Group12@1142323703;class negotiator.group11.Group11@321420023;0,88095;0,89359;0,86360
3;0,182;18;Yes;No;3;0,72350;0,85265;0,10766;0,30005;2,39757;class negotiator.group12.Group12@795223708;class negotiator.group1.Group1@1324115980;class negotiator.group11.Group11@969042407;0,82143;0,85265;0,72350
4;0,078;13;Yes;No;3;0,80594;0,96428;0,00000;0,47822;2,66691;class negotiator.group12.Group12@1777161194;class negotiator.group11.Group11@1998707341;class negotiator.group1.Group1@1512075373;0,96428;0,80594;0,89668
5;0,182;12;Yes;No;3;0,76190;0,88882;0,01411;0,42499;2,51536;class negotiator.group11.Group11@1887942559;class negotiator.group12.Group12@1937168486;class negotiator.group1.Group1@184193335;0,76190;0,86463;0,88882
