sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,154;23;Yes;No;3;0,76812;0,83158;0,07241;0,14042;2,38107;class negotiator.group1.Group1@1478749035;class negotiator.group10.Group10@1545368759;class negotiator.group12.Group12@421454160;0,83158;0,78138;0,76812
2;0,063;14;Yes;No;3;0,75610;0,92894;0,06014;0,16195;2,46919;class negotiator.group1.Group1@684530085;class negotiator.group12.Group12@390818247;class negotiator.group10.Group10@2033262111;0,92894;0,78415;0,75610
3;0,082;21;Yes;No;3;0,85582;0,88581;0,00000;0,00000;2,60043;class negotiator.group12.Group12@1074166113;class negotiator.group1.Group1@206513655;class negotiator.group10.Group10@2105475975;0,85582;0,88581;0,85880
4;0,315;30;Yes;No;3;0,61799;0,83226;0,10553;0,29347;2,18904;class negotiator.group12.Group12@1022498956;class negotiator.group10.Group10@1239937656;class negotiator.group1.Group1@1283568632;0,73880;0,61799;0,83226
5;0,107;25;Yes;No;3;0,71204;0,87923;0,08186;0,20582;2,33121;class negotiator.group10.Group10@1251367469;class negotiator.group12.Group12@1007949109;class negotiator.group1.Group1@2110484284;0,71204;0,73995;0,87923
6;0,124;24;Yes;No;3;0,79841;0,81948;0,07400;0,09890;2,43432;class negotiator.group10.Group10@54398650;class negotiator.group1.Group1@530521685;class negotiator.group12.Group12@957034517;0,81948;0,81643;0,79841
1;0,532;37;Yes;No;3;0,63316;0,81551;0,21097;0,29500;2,14877;class negotiator.group1.Group1@979652722;class negotiator.group10.Group10@1567530205;class negotiator.group12.Group12@1023775997;0,81551;0,70010;0,63316
2;0,082;15;Yes;No;3;0,78873;0,92352;0,00000;0,08999;2,61009;class negotiator.group1.Group1@182992820;class negotiator.group12.Group12@600429120;class negotiator.group10.Group10@846858424;0,89784;0,92352;0,78873
3;0,119;26;Yes;No;3;0,76830;0,86125;0,10397;0,12615;2,40099;class negotiator.group12.Group12@1397450784;class negotiator.group1.Group1@1048439771;class negotiator.group10.Group10@1553996644;0,77144;0,86125;0,76830
4;0,244;29;Yes;No;3;0,64833;0,81097;0,16646;0,23985;2,23471;class negotiator.group12.Group12@1669880809;class negotiator.group10.Group10@846878576;class negotiator.group1.Group1@1859981664;0,64833;0,77541;0,81097
