sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,109;38;Yes;No;3;0,61479;0,75929;0,00000;0,23187;2,10867;class negotiator.group1.Group1@1301921176;class negotiator.group2.Group2@1130252891;class negotiator.group12.Group12@1197594344;0,73459;0,75929;0,61479
2;0,092;36;Yes;No;3;0,65100;0,76914;0,04321;0,07241;2,14156;class negotiator.group1.Group1@40058976;class negotiator.group12.Group12@43407561;class negotiator.group2.Group2@866895442;0,72142;0,65100;0,76914
3;0,096;41;Yes;No;3;0,60556;0,76655;0,05281;0,14803;2,10843;class negotiator.group12.Group12@2058649689;class negotiator.group1.Group1@1649196847;class negotiator.group2.Group2@1387066303;0,60556;0,73632;0,76655
4;0,087;40;Yes;No;3;0,64497;0,75920;0,01793;0,13771;2,15672;class negotiator.group12.Group12@1062741742;class negotiator.group2.Group2@1638977300;class negotiator.group1.Group1@1711448522;0,64497;0,75920;0,75255
5;0,108;37;Yes;No;3;0,62669;0,76343;0,04477;0,13482;2,10726;class negotiator.group2.Group2@1401325502;class negotiator.group12.Group12@764916854;class negotiator.group1.Group1@1245189823;0,76343;0,62669;0,71713
6;0,072;39;Yes;No;3;0,62993;0,75099;0,01276;0,21479;2,11315;class negotiator.group2.Group2@969401027;class negotiator.group1.Group1@1578842418;class negotiator.group12.Group12@1321144963;0,73223;0,75099;0,62993
1;0,093;40;Yes;No;3;0,70628;0,74486;0,00000;0,13533;2,16598;class negotiator.group1.Group1@1152940037;class negotiator.group2.Group2@1122978731;class negotiator.group12.Group12@1161443437;0,70628;0,74486;0,71485
2;0,070;35;Yes;No;3;0,60173;0,78114;0,05211;0,09722;2,10471;class negotiator.group1.Group1@1940328771;class negotiator.group12.Group12@1960322914;class negotiator.group2.Group2@1280481345;0,72184;0,60173;0,78114
3;0,096;39;Yes;No;3;0,67866;0,79694;0,00000;0,06361;2,17938;class negotiator.group12.Group12@1480534262;class negotiator.group1.Group1@332990395;class negotiator.group2.Group2@638566805;0,67866;0,70378;0,79694
4;0,078;41;Yes;No;3;0,69468;0,76718;0,00000;0,14516;2,18138;class negotiator.group12.Group12@2127025541;class negotiator.group2.Group2@1595812403;class negotiator.group1.Group1@77666996;0,69468;0,76718;0,71951
5;0,090;39;Yes;No;3;0,62616;0,82392;0,00000;0,14730;2,18942;class negotiator.group2.Group2@1551528156;class negotiator.group12.Group12@483523883;class negotiator.group1.Group1@842007344;0,82392;0,62616;0,73934
6;0,076;39;Yes;No;3;0,62993;0,75099;0,01276;0,21479;2,11315;class negotiator.group2.Group2@1044962168;class negotiator.group1.Group1@834380029;class negotiator.group12.Group12@571484996;0,73223;0,75099;0,62993
1;0,089;43;Yes;No;3;0,57419;0,74789;0,02259;0,26273;2,04031;class negotiator.group1.Group1@269190581;class negotiator.group2.Group2@1751125975;class negotiator.group12.Group12@78702190;0,74789;0,71823;0,57419
2;0,090;41;Yes;No;3;0,52047;0,78107;0,04743;0,17863;2,07891;class negotiator.group1.Group1@660191159;class negotiator.group12.Group12@1798551748;class negotiator.group2.Group2@63249602;0,77737;0,52047;0,78107
3;0,120;34;Yes;No;3;0,61289;0,81598;0,00000;0,14819;2,20586;class negotiator.group12.Group12@4528450;class negotiator.group1.Group1@1783358194;class negotiator.group2.Group2@474514151;0,61289;0,77700;0,81598
4;0,108;40;Yes;No;3;0,59486;0,78034;0,04838;0,14936;2,10508;class negotiator.group12.Group12@935378592;class negotiator.group2.Group2@535248403;class negotiator.group1.Group1@713950063;0,59486;0,72987;0,78034
5;0,068;35;Yes;No;3;0,59186;0,87286;0,00000;0,19479;2,20836;class negotiator.group2.Group2@1913254755;class negotiator.group12.Group12@1074689596;class negotiator.group1.Group1@1723846536;0,87286;0,59186;0,74365
6;0,092;37;Yes;No;3;0,66542;0,78897;0,00000;0,18076;2,15857;class negotiator.group2.Group2@1022377291;class negotiator.group1.Group1@23020381;class negotiator.group12.Group12@852716252;0,78897;0,70418;0,66542
1;0,091;39;Yes;No;3;0,61479;0,75929;0,00000;0,23187;2,10867;class negotiator.group1.Group1@705175681;class negotiator.group2.Group2@397368046;class negotiator.group12.Group12@1813096173;0,73459;0,75929;0,61479
2;0,070;38;Yes;No;3;0,65070;0,75054;0,05138;0,09094;2,11079;class negotiator.group1.Group1@1161667641;class negotiator.group12.Group12@777689143;class negotiator.group2.Group2@1137696568;0,70955;0,65070;0,75054
3;0,083;36;Yes;No;3;0,61289;0,81598;0,00000;0,14819;2,20586;class negotiator.group12.Group12@570965858;class negotiator.group1.Group1@171727734;class negotiator.group2.Group2@1893593382;0,61289;0,77700;0,81598
4;0,072;39;Yes;No;3;0,56555;0,86341;0,00000;0,27041;2,14085;class negotiator.group12.Group12@1305921050;class negotiator.group2.Group2@784729069;class negotiator.group1.Group1@1179191976;0,56555;0,86341;0,71189
5;0,106;40;Yes;No;3;0,71208;0,74906;0,00000;0,12240;2,17805;class negotiator.group2.Group2@1493342086;class negotiator.group12.Group12@580873386;class negotiator.group1.Group1@1012456063;0,74906;0,71208;0,71692
6;0,071;39;Yes;No;3;0,62993;0,75099;0,01276;0,21479;2,11315;class negotiator.group2.Group2@843746070;class negotiator.group1.Group1@2142868606;class negotiator.group12.Group12@647650591;0,73223;0,75099;0,62993
1;0,083;40;Yes;No;3;0,55638;0,77995;0,01276;0,28638;2,06692;class negotiator.group1.Group1@1558962321;class negotiator.group2.Group2@983548449;class negotiator.group12.Group12@154581864;0,77995;0,73059;0,55638
2;0,070;33;Yes;No;3;0,59966;0,86339;0,00000;0,08882;2,18863;class negotiator.group1.Group1@2100329972;class negotiator.group12.Group12@2128405931;class negotiator.group2.Group2@982957723;0,72559;0,59966;0,86339
3;0,062;37;Yes;No;3;0,70978;0,77791;0,00000;0,06239;2,20505;class negotiator.group12.Group12@105361242;class negotiator.group1.Group1@2028383675;class negotiator.group2.Group2@1628368561;0,71736;0,70978;0,77791
4;0,062;34;Yes;No;3;0,64369;0,81015;0,00000;0,19680;2,16179;class negotiator.group12.Group12@1860429421;class negotiator.group2.Group2@1441118612;class negotiator.group1.Group1@404970982;0,64369;0,81015;0,70794
5;0,084;37;Yes;No;3;0,61025;0,78724;0,03485;0,09281;2,15715;class negotiator.group2.Group2@240014133;class negotiator.group12.Group12@2137988127;class negotiator.group1.Group1@129901439;0,75966;0,61025;0,78724
6;0,068;39;Yes;No;3;0,66542;0,78897;0,00000;0,18076;2,15857;class negotiator.group2.Group2@99652099;class negotiator.group1.Group1@2044444275;class negotiator.group12.Group12@2119420595;0,78897;0,70418;0,66542
1;0,083;35;Yes;No;3;0,58425;0,78001;0,00000;0,26819;2,07182;class negotiator.group1.Group1@142650333;class negotiator.group2.Group2@157372484;class negotiator.group12.Group12@762142525;0,70756;0,78001;0,58425
2;0,074;38;Yes;No;3;0,61670;0,77345;0,04330;0,10006;2,16050;class negotiator.group1.Group1@1292570225;class negotiator.group12.Group12@1079548494;class negotiator.group2.Group2@1136136561;0,77035;0,61670;0,77345
3;0,101;34;Yes;No;3;0,61289;0,81598;0,00000;0,14819;2,20586;class negotiator.group12.Group12@74132108;class negotiator.group1.Group1@285656310;class negotiator.group2.Group2@361281138;0,61289;0,77700;0,81598
4;0,086;41;Yes;No;3;0,64290;0,73761;0,03530;0,13439;2,10695;class negotiator.group12.Group12@381161003;class negotiator.group2.Group2@1264216378;class negotiator.group1.Group1@1826371027;0,64290;0,72644;0,73761
5;0,088;38;Yes;No;3;0,54889;0,83383;0,05243;0,21676;2,08470;class negotiator.group2.Group2@1010251036;class negotiator.group12.Group12@1789439463;class negotiator.group1.Group1@1914898993;0,83383;0,54889;0,70199
6;0,116;41;Yes;No;3;0,66060;0,74213;0,01276;0,17809;2,12481;class negotiator.group2.Group2@2136787723;class negotiator.group1.Group1@2051448361;class negotiator.group12.Group12@1437516563;0,74213;0,72207;0,66060
1;0,092;38;Yes;No;3;0,63648;0,74234;0,02560;0,20676;2,08599;class negotiator.group1.Group1@1060518165;class negotiator.group2.Group2@640399723;class negotiator.group12.Group12@1758645329;0,70717;0,74234;0,63648
2;0,086;43;Yes;No;3;0,60818;0,76734;0,06301;0,10049;2,10807;class negotiator.group1.Group1@1262959619;class negotiator.group12.Group12@1169640175;class negotiator.group2.Group2@1051481043;0,73254;0,60818;0,76734
3;0,081;39;Yes;No;3;0,55288;0,84637;0,00000;0,25281;2,14785;class negotiator.group12.Group12@1080205331;class negotiator.group1.Group1@842476344;class negotiator.group2.Group2@1302917027;0,55288;0,84637;0,74860
4;0,063;37;Yes;No;3;0,61865;0,77316;0,04022;0,17468;2,12137;class negotiator.group12.Group12@298192654;class negotiator.group2.Group2@1156663069;class negotiator.group1.Group1@1335155280;0,61865;0,77316;0,72957
5;0,093;39;Yes;No;3;0,54087;0,85462;0,04330;0,14406;2,12514;class negotiator.group2.Group2@1170989558;class negotiator.group12.Group12@1691625534;class negotiator.group1.Group1@710103574;0,72965;0,54087;0,85462
6;0,066;39;Yes;No;3;0,62993;0,75099;0,01276;0,21479;2,11315;class negotiator.group2.Group2@1132223318;class negotiator.group1.Group1@1503843998;class negotiator.group12.Group12@477265996;0,73223;0,75099;0,62993
1;0,107;42;Yes;No;3;0,56242;0,72974;0,06124;0,27132;1,97427;class negotiator.group1.Group1@746697270;class negotiator.group2.Group2@218556955;class negotiator.group12.Group12@1121962755;0,72974;0,68211;0,56242
2;0,084;40;Yes;No;3;0,63666;0,75063;0,03956;0,11503;2,11873;class negotiator.group1.Group1@1252479988;class negotiator.group12.Group12@1796622484;class negotiator.group2.Group2@1375351263;0,75063;0,63666;0,73144
3;0,087;40;Yes;No;3;0,55784;0,75673;0,07067;0,21116;2,04434;class negotiator.group12.Group12@1841393456;class negotiator.group1.Group1@495565199;class negotiator.group2.Group2@1149374530;0,55784;0,75673;0,72977
4;0,068;36;Yes;No;3;0,64696;0,79306;0,00000;0,13719;2,22761;class negotiator.group12.Group12@1148630468;class negotiator.group2.Group2@573106837;class negotiator.group1.Group1@1925020318;0,64696;0,78759;0,79306
